transaction_id,account_id,transaction_date,post_date,merchant_id,amount,status,is_international,mcc_code,rewards_earned,description
CC_TXN_1000,CC_1000,2023-04-28,2023-04-28,1022,18.304771563763136,COMPLETED,False,3078,3.0212222984836226,Purchase at Walgreens
CC_TXN_1001,CC_1000,2023-11-10,2023-11-11,1003,141.54663086981523,COMPLETED,True,3309,1.6998574218359064,Purchase at Trader Joes
CC_TXN_1002,CC_1000,2023-01-25,2023-01-26,1011,195.7159117973534,COMPLETED,False,2224,2.354424167378408,Purchase at Netflix
CC_TXN_1003,CC_1000,2023-03-28,2023-03-30,1002,245.54876118944475,COMPLETED,False,1846,2.082229437341849,Purchase at Whole Foods
CC_TXN_1004,CC_1000,2023-12-10,2023-12-12,1036,16.19726484048036,COMPLETED,False,6335,2.820919807535742,Purchase at Venmo
CC_TXN_1005,CC_1000,2023-04-30,2023-04-30,1018,75.30589398951194,COMPLETED,False,9531,4.755842099260507,Purchase at Comcast
CC_TXN_1006,CC_1000,2023-10-05,2023-10-07,1007,167.00934407681174,COMPLETED,False,9432,4.450358692946811,Purchase at Target
CC_TXN_1007,CC_1000,2023-02-10,2023-02-12,1028,73.88055613610778,COMPLETED,False,3150,4.649959505198722,Purchase at Expedia
CC_TXN_1008,CC_1000,2023-04-01,2023-04-02,1028,17.55140937593705,COMPLETED,False,3150,4.085104019129771,Purchase at Expedia
CC_TXN_1009,CC_1000,2023-12-10,2023-12-12,1010,86.5517323870006,COMPLETED,False,5590,4.347278648805261,Purchase at Nike
CC_TXN_1010,CC_1000,2023-07-06,2023-07-07,1029,62.52532485069411,COMPLETED,False,4069,1.3349417603976739,Purchase at Airbnb
CC_TXN_1011,CC_1000,2023-07-30,2023-07-30,1036,118.16152447947805,COMPLETED,False,6335,3.135708671041161,Purchase at Venmo
CC_TXN_1012,CC_1000,2023-10-07,2023-10-07,1003,92.2182567435825,COMPLETED,True,3309,2.7064866601246336,Purchase at Trader Joes
CC_TXN_1013,CC_1000,2023-07-19,2023-07-20,1005,18.532739985665906,COMPLETED,False,6735,3.902852190260018,Purchase at Kroger
CC_TXN_1014,CC_1000,2023-03-29,2023-03-29,1031,92.16880542030086,COMPLETED,False,1496,3.346501536689105,Purchase at McDonalds
CC_TXN_1015,CC_1000,2023-08-16,2023-08-18,1021,17.432901325620975,COMPLETED,False,8062,2.2521567193421363,Purchase at CVS
CC_TXN_1016,CC_1000,2023-02-21,2023-02-22,1013,5.456379904815737,COMPLETED,False,8436,1.0109933885071003,Purchase at Spotify
CC_TXN_1017,CC_1000,2023-11-08,2023-11-09,1017,32.34208938265197,COMPLETED,False,2337,3.9520875125326107,Purchase at PG&E
CC_TXN_1018,CC_1000,2023-08-10,2023-08-11,1029,61.925492275714305,COMPLETED,False,4069,3.271272316246247,Purchase at Airbnb
CC_TXN_1019,CC_1000,2023-06-18,2023-06-18,1009,79.3707290881414,COMPLETED,False,5519,1.25433120194623,Purchase at Macys
CC_TXN_1020,CC_1000,2023-07-04,2023-07-04,1011,33.45688396004939,COMPLETED,False,2224,3.17091538169766,Purchase at Netflix
CC_TXN_1021,CC_1000,2023-03-04,2023-03-05,1039,113.88508564423387,COMPLETED,False,6575,1.7468054304310185,Purchase at Cash App
CC_TXN_1022,CC_1000,2023-05-14,2023-05-15,1003,180.09870531713284,COMPLETED,True,3309,4.126627557045394,Purchase at Trader Joes
CC_TXN_1023,CC_1000,2023-07-18,2023-07-19,1025,487.2556677306133,COMPLETED,False,6066,3.6438549599668635,Purchase at Blue Cross
CC_TXN_1024,CC_1000,2023-07-30,2023-07-31,1035,161.21161083978072,COMPLETED,False,9976,3.868420791284345,Purchase at Local Cafe
CC_TXN_1025,CC_1000,2023-07-14,2023-07-15,1025,36.09610225070312,COMPLETED,False,6066,1.5702528495175305,Purchase at Blue Cross
CC_TXN_1026,CC_1000,2023-07-02,2023-07-04,1023,95.29847910140263,COMPLETED,True,5158,2.7303457358502885,Purchase at Kaiser
CC_TXN_1027,CC_1000,2023-04-26,2023-04-27,1010,36.83645871860544,COMPLETED,False,5590,2.7124326248256803,Purchase at Nike
CC_TXN_1028,CC_1000,2023-03-06,2023-03-07,1036,24.55412244511106,COMPLETED,False,6335,2.5250082945865535,Purchase at Venmo
CC_TXN_1029,CC_1000,2023-05-26,2023-05-27,1026,180.63612975741069,COMPLETED,False,7233,1.738860032168275,Purchase at United Airlines
CC_TXN_1030,CC_1000,2023-07-16,2023-07-17,1002,115.61223315856567,COMPLETED,False,1846,2.1964112965541256,Purchase at Whole Foods
CC_TXN_1031,CC_1000,2023-12-11,2023-12-11,1011,18.052567118433117,COMPLETED,False,2224,2.939828580326648,Purchase at Netflix
CC_TXN_1032,CC_1000,2023-05-21,2023-05-21,1030,541.6126728575501,COMPLETED,False,7212,4.99388508617922,Purchase at Enterprise
CC_TXN_1033,CC_1000,2023-10-27,2023-10-28,1011,224.3315523058248,COMPLETED,False,2224,2.9648558818918067,Purchase at Netflix
CC_TXN_1034,CC_1000,2023-05-17,2023-05-19,1002,99.5582029910529,COMPLETED,False,1846,4.6906295779811185,Purchase at Whole Foods
CC_TXN_1035,CC_1000,2023-01-04,2023-01-04,1027,37.5011964593155,COMPLETED,False,5570,1.0380398116356622,Purchase at Marriott
CC_TXN_1036,CC_1000,2023-07-20,2023-07-21,1032,64.79308020142904,COMPLETED,True,4905,2.668962097766081,Purchase at Starbucks
CC_TXN_1037,CC_1000,2023-03-26,2023-03-26,1026,151.68366625184223,COMPLETED,False,7233,4.008466052143546,Purchase at United Airlines
CC_TXN_1038,CC_1000,2023-04-15,2023-04-16,1026,39.944428824459195,COMPLETED,False,7233,1.5806323811200556,Purchase at United Airlines
CC_TXN_1039,CC_1000,2023-06-29,2023-07-01,1014,72.00224585002904,COMPLETED,False,3590,4.940880507454875,Purchase at Steam
CC_TXN_1040,CC_1000,2023-08-07,2023-08-08,1029,32.96666064153401,COMPLETED,False,4069,2.8836572064959225,Purchase at Airbnb
CC_TXN_1041,CC_1000,2023-03-12,2023-03-14,1016,97.41431866443732,COMPLETED,False,2569,1.857594576784816,Purchase at AT&T
CC_TXN_1042,CC_1000,2023-06-06,2023-06-07,1012,103.03217882700027,COMPLETED,False,8445,3.5159701205891345,Purchase at AMC Theaters
CC_TXN_1043,CC_1000,2023-08-04,2023-08-06,1012,142.591247451597,COMPLETED,False,8445,2.9386498722631575,Purchase at AMC Theaters
CC_TXN_1044,CC_1000,2023-01-07,2023-01-07,1004,43.80278245600283,COMPLETED,True,8151,2.605891827357867,Purchase at Safeway
